Designator,Mid X,Mid Y,Rotation,Layer
_29,120.245,-139.93,180.0,top
_28,123.165,-139.97,180.0,top
_27,123.165,-139.97,180.0,top
_26,120.245,-139.93,180.0,top
_25,123.14,-155.48,0.0,top
_24,120.22,-155.44,0.0,top
_23,173.2,-154.415,90.0,top
_22,178.8475,-156.705,90.0,top
_21,109.1565,-154.8365,180.0,top
_20,103.6315,-145.3615,180.0,top
_19,116.1315,-144.3615,180.0,top
_18,103.6315,-149.3615,180.0,top
_17,176.6,-154.315,90.0,top
_16,176.0,-156.715,90.0,top
_15,106.6565,-139.7365,180.0,top
_14,181.7,-156.705,90.0,top
_13,119.4,-147.5,0.0,top
_12,106.6565,-154.8365,180.0,top
_11,102.1315,-140.3615,180.0,top
_10,173.2,-156.715,90.0,top
_9,116.1315,-150.3615,180.0,top
_8,111.6565,-154.8365,180.0,top
_7,116.1315,-147.3615,180.0,top
_6,116.1315,-154.3615,180.0,top
_5,111.6565,-139.7365,180.0,top
_4,102.6315,-143.6115,180.0,top
_3,103.6315,-147.3615,180.0,top
_2,102.6315,-151.1115,180.0,top
,102.1315,-154.3615,180.0,top
C1,177.1125,-151.6775,270.0,top
C2,175.365,-148.9875,180.0,top
CONN1_2,121.7,-151.49,180.0,top
CONN1,121.68,-143.75,0.0,top
D1,193.0,-195.0,90.0,top
D2,193.0,-185.0,90.0,top
D3,193.0,-175.0,90.0,top
D5,194.14,-155.33,90.0,top
D6,194.0,-147.0,270.0,top
D8,142.96,-187.61,180.0,top
FID3,131.083,-144.5375,180.0,top
FID4,164.103,-168.5151,180.0,top
J1_2,110.6365,-169.6,90.0,top
J1,102.1315,-154.3615,180.0,top
J2_2,102.1315,-140.3615,180.0,top
J2,110.6265,-117.0,90.0,top
J3_2,189.3535,-117.0,270.0,top
J3,116.1315,-140.3615,180.0,top
J4_2,116.1315,-154.3615,180.0,top
J4,152.0,-110.7,0.0,top
JP3,147.466,-174.827,180.0,top
JST1_3,177.005,-103.7,270.0,top
JST1_2,138.84,-122.655,0.0,top
JST1,124.64,-119.205,0.0,top
L1,180.2,-152.4575,0.0,top
MCU1,116.83,-117.0,0.0,top
MCU2,185.65,-117.0,180.0,top
MCU3,152.0,-114.45,270.0,top
R1,177.62,-148.2325,90.0,top
R2,175.365,-147.4875,180.0,top
S1,110.96,-190.11,0.0,top
S3,126.96,-190.11,0.0,top
S5,142.96,-190.11,0.0,top
S7,158.96,-190.11,0.0,top
S9,174.96,-190.11,0.0,top
U$25,162.706,-171.652,180.0,top
U$27,132.226,-171.652,180.0,top
U$29,162.706,-141.172,180.0,top
U$30,132.226,-141.172,180.0,top
U$32,137.306,-143.077,0.0,top
U$33,158.007,-150.062,180.0,top
U1,180.4475,-148.4475,0.0,top
U2,174.2825,-151.4675,180.0,top
X1,147.466,-155.924096,225.0,bottom
XX17,193.0,-195.0,90.0,top
XX18_2,193.0,-185.0,90.0,top
XX18,192.81,-165.29,90.0,top
XX19_3,193.0,-175.0,90.0,top
XX19_2,177.52,-164.92,270.0,top
XX19,178.77,-139.9,270.0,top
XX21_3,177.97,-175.81,270.0,top
XX21_2,194.02,-138.2175,90.0,top
XX21,194.14,-155.33,90.0,top
XX22,194.0,-147.0,90.0,top
